Seed: 1699069478
Data loaded
Train Images: 60000
Train Labels: 60000
Test Images: 10000
Test Labels: 10000
i:0 | Mean Loss: 129.4 | Last Output: 16.38 | Label: 5
i:30000 | Mean Loss: 3.378 | Last Output: 3.555 | Label: 3
i:35000 | Mean Loss: 3.391 | Last Output: 2.544 | Label: 1
i:40000 | Mean Loss: 3.392 | Last Output: 5.78 | Label: 7
i:45000 | Mean Loss: 3.385 | Last Output: 4.109 | Label: 3
i:50000 | Mean Loss: 3.374 | Last Output: 3.758 | Label: 3
i:55000 | Mean Loss: 3.368 | Last Output: 1.208 | Label: 1
Epoch: 19 | Loss: 3.356 | Train Accuracy: 0.227 | Test Accuracy: 0.1551
i:0 | Mean Loss: 0.04057 | Last Output: 4.799 | Label: 5
i:5000 | Mean Loss: 3.166 | Last Output: 6.087 | Label: 7
i:10000 | Mean Loss: 3.186 | Last Output: 5.244 | Label: 3
i:15000 | Mean Loss: 3.215 | Last Output: 4.076 | Label: 5
i:20000 | Mean Loss: 3.191 | Last Output: 5.094 | Label: 5
i:25000 | Mean Loss: 3.256 | Last Output: 4.637 | Label: 3
i:30000 | Mean Loss: 3.249 | Last Output: 3.549 | Label: 3
i:35000 | Mean Loss: 3.258 | Last Output: 2.42 | Label: 1
i:40000 | Mean Loss: 3.259 | Last Output: 5.767 | Label: 7
i:45000 | Mean Loss: 3.258 | Last Output: 4.092 | Label: 3
i:50000 | Mean Loss: 3.257 | Last Output: 4.28 | Label: 3
i:55000 | Mean Loss: 3.261 | Last Output: 1.425 | Label: 1
Epoch: 20 | Loss: 3.253 | Train Accuracy: 0.2317 | Test Accuracy: 0.1562
i:0 | Mean Loss: 0.006089 | Last Output: 5.078 | Label: 5
i:5000 | Mean Loss: 3.074 | Last Output: 6.011 | Label: 7
i:10000 | Mean Loss: 3.099 | Last Output: 5.148 | Label: 3
i:15000 | Mean Loss: 3.125 | Last Output: 4.216 | Label: 5
i:20000 | Mean Loss: 3.097 | Last Output: 5 | Label: 5
i:25000 | Mean Loss: 3.162 | Last Output: 4.443 | Label: 3
i:30000 | Mean Loss: 3.16 | Last Output: 4.073 | Label: 3
i:35000 | Mean Loss: 3.167 | Last Output: 2.536 | Label: 1
i:40000 | Mean Loss: 3.166 | Last Output: 5.878 | Label: 7
i:45000 | Mean Loss: 3.164 | Last Output: 4.318 | Label: 3
i:50000 | Mean Loss: 3.156 | Last Output: 3.807 | Label: 3
i:55000 | Mean Loss: 3.157 | Last Output: 1.821 | Label: 1
Epoch: 21 | Loss: 3.148 | Train Accuracy: 0.2355 | Test Accuracy: 0.1546
i:0 | Mean Loss: 0.03515 | Last Output: 4.813 | Label: 5
i:5000 | Mean Loss: 2.961 | Last Output: 5.876 | Label: 7
i:10000 | Mean Loss: 2.979 | Last Output: 5.062 | Label: 3
i:15000 | Mean Loss: 2.996 | Last Output: 4.355 | Label: 5
i:20000 | Mean Loss: 2.982 | Last Output: 4.544 | Label: 5
i:25000 | Mean Loss: 3.048 | Last Output: 4.603 | Label: 3
i:30000 | Mean Loss: 3.048 | Last Output: 4.189 | Label: 3
i:35000 | Mean Loss: 3.056 | Last Output: 2.785 | Label: 1
i:40000 | Mean Loss: 3.056 | Last Output: 6.245 | Label: 7
i:45000 | Mean Loss: 3.053 | Last Output: 4.032 | Label: 3
i:50000 | Mean Loss: 3.047 | Last Output: 3.613 | Label: 3
i:55000 | Mean Loss: 3.051 | Last Output: 1.483 | Label: 1
Epoch: 22 | Loss: 3.044 | Train Accuracy: 0.2422 | Test Accuracy: 0.1557
i:0 | Mean Loss: 0.9704 | Last Output: 4.015 | Label: 5
i:5000 | Mean Loss: 2.871 | Last Output: 5.833 | Label: 7
i:10000 | Mean Loss: 2.882 | Last Output: 5.206 | Label: 3
i:15000 | Mean Loss: 2.913 | Last Output: 4.32 | Label: 5
i:20000 | Mean Loss: 2.883 | Last Output: 4.948 | Label: 5
i:25000 | Mean Loss: 2.939 | Last Output: 4.637 | Label: 3
i:30000 | Mean Loss: 2.949 | Last Output: 4.206 | Label: 3
i:35000 | Mean Loss: 2.956 | Last Output: 2.719 | Label: 1
i:40000 | Mean Loss: 2.957 | Last Output: 6.18 | Label: 7
i:45000 | Mean Loss: 2.957 | Last Output: 3.305 | Label: 3
i:50000 | Mean Loss: 2.954 | Last Output: 3.581 | Label: 3
i:55000 | Mean Loss: 2.959 | Last Output: 1.595 | Label: 1
Epoch: 23 | Loss: 2.953 | Train Accuracy: 0.2465 | Test Accuracy: 0.1542
i:0 | Mean Loss: 0.719 | Last Output: 4.152 | Label: 5
i:5000 | Mean Loss: 2.799 | Last Output: 5.87 | Label: 7
i:10000 | Mean Loss: 2.797 | Last Output: 5.111 | Label: 3
i:15000 | Mean Loss: 2.821 | Last Output: 4.048 | Label: 5
i:20000 | Mean Loss: 2.801 | Last Output: 4.992 | Label: 5
i:25000 | Mean Loss: 2.854 | Last Output: 4.37 | Label: 3
i:30000 | Mean Loss: 2.862 | Last Output: 4.065 | Label: 3
i:35000 | Mean Loss: 2.871 | Last Output: 3.005 | Label: 1
i:40000 | Mean Loss: 2.871 | Last Output: 6.242 | Label: 7
i:45000 | Mean Loss: 2.872 | Last Output: 3.096 | Label: 3
i:50000 | Mean Loss: 2.869 | Last Output: 3.568 | Label: 3
i:55000 | Mean Loss: 2.874 | Last Output: 1.437 | Label: 1
Epoch: 24 | Loss: 2.871 | Train Accuracy: 0.2489 | Test Accuracy: 0.1553
i:0 | Mean Loss: 0.9555 | Last Output: 4.023 | Label: 5
i:5000 | Mean Loss: 2.728 | Last Output: 5.713 | Label: 7
i:10000 | Mean Loss: 2.746 | Last Output: 5.616 | Label: 3
i:15000 | Mean Loss: 2.779 | Last Output: 4.129 | Label: 5
i:20000 | Mean Loss: 2.756 | Last Output: 5.133 | Label: 5
i:25000 | Mean Loss: 2.8 | Last Output: 4.475 | Label: 3
i:30000 | Mean Loss: 2.807 | Last Output: 4.338 | Label: 3
i:35000 | Mean Loss: 2.816 | Last Output: 2.958 | Label: 1
i:40000 | Mean Loss: 2.818 | Last Output: 6.055 | Label: 7
i:45000 | Mean Loss: 2.82 | Last Output: 3.277 | Label: 3
i:50000 | Mean Loss: 2.817 | Last Output: 3.614 | Label: 3
i:55000 | Mean Loss: 2.82 | Last Output: 0.9298 | Label: 1
Epoch: 25 | Loss: 2.816 | Train Accuracy: 0.2518 | Test Accuracy: 0.1565
i:0 | Mean Loss: 0.7177 | Last Output: 4.153 | Label: 5
i:5000 | Mean Loss: 2.687 | Last Output: 5.722 | Label: 7
i:10000 | Mean Loss: 2.679 | Last Output: 5.258 | Label: 3
i:15000 | Mean Loss: 2.702 | Last Output: 4.125 | Label: 5
i:20000 | Mean Loss: 2.685 | Last Output: 5.595 | Label: 5
i:25000 | Mean Loss: 2.729 | Last Output: 4.775 | Label: 3
i:30000 | Mean Loss: 2.736 | Last Output: 4.11 | Label: 3
i:35000 | Mean Loss: 2.745 | Last Output: 2.849 | Label: 1
i:40000 | Mean Loss: 2.746 | Last Output: 6.061 | Label: 7
i:45000 | Mean Loss: 2.746 | Last Output: 2.933 | Label: 3
i:50000 | Mean Loss: 2.746 | Last Output: 3.467 | Label: 3
i:55000 | Mean Loss: 2.75 | Last Output: 1.107 | Label: 1
Epoch: 26 | Loss: 2.746 | Train Accuracy: 0.2586 | Test Accuracy: 0.1546
i:0 | Mean Loss: 0.6051 | Last Output: 4.222 | Label: 5
i:5000 | Mean Loss: 2.638 | Last Output: 5.814 | Label: 7
i:10000 | Mean Loss: 2.623 | Last Output: 5.893 | Label: 3
i:15000 | Mean Loss: 2.646 | Last Output: 4.173 | Label: 5
i:20000 | Mean Loss: 2.631 | Last Output: 5.583 | Label: 5
i:25000 | Mean Loss: 2.672 | Last Output: 4.396 | Label: 3
i:30000 | Mean Loss: 2.675 | Last Output: 4.119 | Label: 3
i:35000 | Mean Loss: 2.683 | Last Output: 2.984 | Label: 1
i:40000 | Mean Loss: 2.682 | Last Output: 6.272 | Label: 7
i:45000 | Mean Loss: 2.686 | Last Output: 2.781 | Label: 3
i:50000 | Mean Loss: 2.688 | Last Output: 3.338 | Label: 3
i:55000 | Mean Loss: 2.691 | Last Output: 0.8506 | Label: 1
Epoch: 27 | Loss: 2.69 | Train Accuracy: 0.2605 | Test Accuracy: 0.1561
i:0 | Mean Loss: 0.2837 | Last Output: 4.467 | Label: 5
